,TIC_ID
0,159670453
11,278805095
47,394275950
79,261748427
196,259902074
202,267211065
207,421918385
229,31747041
232,234334772
257,234302530
281,270245797
319,273511930
340,232080070
341,232083010
348,370041241
356,167304735
365,277890728
374,277911545
389,325279209
396,140898575
424,219155952
435,167005517
466,234305624
468,270558473
472,381949031
476,260416268
541,350295056
572,261136679
579,381949122
597,393031938
598,261137158
608,388201470
671,370327409
673,278564051
674,214874883
704,160070136
705,160070294
749,290496412
759,278634692
776,261746757
786,214659089
804,197691162
819,214203655
850,159732098
870,139756492
872,139699247
882,278664109
883,215113338
906,165109591
926,201234655
931,161263740
939,231267777
944,471013491
950,161383245
983,469933293
989,161269173
997,161176007
998,355365289
1019,161173191
1031,144048277
1050,161267453
1077,206362352
1078,197951574
1079,197951576
1081,161270578
1083,355477670
1167,295071039
1182,79111499
1204,139770629
1205,79404795
1261,197759714
1306,214913675
1313,197692262
1316,197740634
1324,152867947
1348,152875656
1352,215114682
1357,214299836
1399,453100169
1406,382420372
1407,382420379
1436,121421711
1447,139349673
1464,139197566
1510,121487860
1566,147113992
1582,147269502
1587,139121623
1597,389662055
1617,278525792
1620,197641601
1626,52194638
1627,234309613
1670,197640900
1674,197686459
1677,197686479
1698,229059741
1713,80080066
1714,229059574
1716,253923638
1717,70442570
1763,97402436
1777,229057867
1782,92498124
1785,92591774
1809,441387330
1811,152225810
1838,266637354
1855,204451102
1866,92730897
1875,89261161
1878,92233366
1882,92253544
1900,266586474
1902,234337032
1928,92566327
1966,206536202
1973,25299762
2019,99739806
2053,302029006
2102,142108949
2224,364423809
2236,141280255
2237,426019151
2239,431380163
2304,358108310
2372,79170658
2375,161335008
2376,161314759
2428,144068704
2436,161167878
2460,161265576
2462,161265414
2470,161335014
2474,197951792
2535,139878414
2544,139754153
2549,79405480
2558,144002706
2566,79153687
2621,375092757
2631,270676778
2636,238925893
2647,363913149
2664,382473600
2677,267094769
2678,388131924
2684,50381965
2712,50377999
2720,266877890
2751,142085842
2780,267091211
2815,270244621
2847,79283165
2855,139825840
2866,79394646
2867,79513950
2868,139679488
2873,79104313
2881,139730235
2899,316991247
2939,306829961
2959,453099404
2973,299940359
3021,300604036
3041,167088607
3048,177116244
3091,167126852
3181,317021841
3194,278684936
3195,350563801
3210,350346371
3211,350295877
3222,260131665
3299,201289521
3322,201306559
3345,234498473
3364,149248196
3367,280793949
3387,394086684
3413,403288575
3434,234298029
3488,469906369
3497,265488188
3522,299753136
3542,350222083
3544,355653322
3556,410464609
3567,406320735
3618,317089497
3620,273651959
3633,404223181
3641,317130136
3653,325393424
3665,376986714
3677,269742895
3742,290495172
3750,261745953
3763,277874564
3794,394234095
3797,394234013
3802,260971201
3818,309401053
3822,25375770
3854,206594461
3890,441021158
3893,206500312
3953,99384278
3960,99673628
3979,326327761
3996,197572123
4030,159834975
4031,129646354
4042,115175339
4046,382299907
4056,129636548
4060,115108198
4082,214659001
4084,160037874
4107,277982164
4112,115014847
4198,261205462
4200,269794986
4209,197572805
4223,394701331
4253,348762920
4285,394678798
4287,358500970
4288,394679100
4296,350136745
4303,394274870
4319,278804454
4334,299800007
4355,394242338
4360,273945912
4409,262956415
4410,261724825
4430,358501433
4444,290543478
4447,260972404
4474,140692280
4539,238182521
4557,426014839
4565,184137021
4592,159672173
4593,159746875
4616,358071115
4620,50377750
4637,180795899
4659,267000601
4666,266997506
4683,115011683
4693,369457005
4721,220492758
4842,370227780
4871,33833289
4903,141810080
4913,394231075
4950,238196350
4969,238198771
4971,238869865
4976,304093921
4977,181655818
4990,141186075
5001,238196512
5018,280096428
5033,50308940
5085,115015109
5111,280684074
5126,317099286
5139,70459329
5140,207074616
5181,79327789
5185,79281046
5210,262529098
5216,79425183
5227,231269344
5248,306735869
5298,300088321
5315,53991812
5344,441193734
5387,197682684
5392,159734053
5401,320964222
5411,159690250
5425,165076924
5426,389471549
5447,114950426
5485,129649472
5492,114988852
5503,197617428
5518,382262019
5548,115178586
5550,114916975
5551,214368082
5579,260640910
5599,260420061
5640,139112038
5681,350765991
5696,350298145
5698,220456828
5776,293972244
5786,220457904
5846,220414802
5873,281727592
5914,279476396
5918,260507093
5997,281598439
6022,279510954
6041,220418532
6053,229058225
6075,229058393
6076,60646102
6077,253928234
6101,253929725
6104,80085234
6121,97402066
6127,61454702
6159,92729808
6219,441422527
6243,211401599
6258,325525016
6261,410256121
6262,410255832
6282,220436223
6298,126763848
6312,126916326
6321,139114943
6337,147114436
6338,147407292
6345,278614418
6366,204500565
6370,92708166
6385,52244725
6428,382198789
6472,140069652
6498,260266504
6529,281779224
6543,281667171
6557,382422098
6574,382422180
6578,117510145
6590,139232635
6596,89004293
6597,89004350
6602,139258210
6620,88244980
6630,92141443
6656,279254898
6739,147285571
6746,126702952
6750,147206199
6751,147285823
6785,147113185
6822,147335048
6835,270582021
6858,237321214
6859,280794284
6863,237334931
6892,140041127
6912,300328258
6964,391901960
6990,300329283
7012,176876294
7060,41533313
7072,177075997
7076,41533357
7150,300039724
7159,259885176
7180,38847248
7219,300015239
7221,300015238
7245,471011143
7264,394779757
7274,405479191
7284,394817660
7300,212296912
7322,25300818
7350,441161288
7356,393891675
7360,441156819
7363,441205252
7368,326395505
7408,441120034
7451,270034306
7453,269832851
7455,29671013
7458,29388651
7482,270038123
7497,234282954
7501,269992160
7503,441110063
7510,212262393
7527,53992511
7528,441182258
7533,29495621
7538,289950895
7543,326444554
7626,260301896
7642,301892354
7660,309146836
7754,308395911
7767,38759751
7769,38680734
7793,237324472
7847,38574307
7860,38828538
7861,220526765
7863,220526882
7888,38574220
7914,149250753
7923,279649049
7924,279649057
7940,38602305
8011,220560148
8013,355765312
8018,231831130
8020,234516451
8041,235007556
8044,262874982
8080,425907353
8088,349677777
8105,220517490
8108,220518620
8113,355738164
8114,234500678
8121,234500531
8135,469974193
8192,271503437
8196,271503441
8252,394595576
8281,234511278
8310,234512399
8312,358512601
8326,262843771
8328,220522615
8330,38909679
8351,374860864
8359,149346418
8362,150394126
8376,150098777
8382,55298910
8394,394045568
8432,38396965
8434,237916869
8463,55478023
8485,237934406
8491,53992133
8498,270219259
8509,309476845
8520,234968549
8532,372908550
8559,350094361
8560,349647610
8589,167572319
8608,150437899
8635,149304313
8686,364322720
8734,126874570
8741,161441781
8752,238815210
8783,91451212
8786,126584063
8815,389659987
8835,139267123
8851,235004484
8857,126803030
8866,139131968
8867,44577667
8868,44625967
8884,389689344
8886,44577692
8902,147425848
8960,389727478
8966,406319088
8999,389658670
9003,44628526
9070,126819791
9076,259719464
9081,147422354
9117,141411201
9141,141026903
9186,141151953
9191,238871118
9216,140596513
9224,370137810
9288,176873735
9326,140690428
9469,267433369
9516,316968340
9518,231700251
9519,262828433
9555,425884418
9560,231712871
9569,409698623
9589,370325449
9601,219140650
9625,316934780
9643,381915829
9666,265612457
9695,403150483
9711,394007775
9714,231626393
9725,355587549
9754,197980430
9764,197980131
9791,231693006
9837,197644690
9838,197710927
9851,197600208
9878,270678026
9908,259291108
9910,262824793
9936,452358088
9937,231824922
9947,355476572
9963,279511712
10014,403153647
10027,265592045
10029,229804573
10042,262841041
10047,231709307
10084,219323708
10125,231711783
10132,260840420
10167,231642144
10176,259862594
10177,259862349
10198,259886108
10225,278660127
10226,278660115
10229,261526008
10250,300448625
10269,370010028
10270,31741586
10272,29760003
10317,31780245
10327,277774779
10340,52242834
10341,39071101
10342,39071103
10355,232076433
10363,299943748
10392,469979458
10394,469979280
10395,260823248
10417,31798594
10434,31799975
10442,32052027
10458,39082723
10472,259886730
10539,394633233
10550,405410684
10565,260795727
10567,260795404
10570,260852919
10637,52195664
10641,31867144
10673,277836910
10699,293973218
10721,270070443
10726,29859905
10743,209394833
10777,326396699
10792,209374489
10797,212351289
10818,302301248
10843,29260474
10860,212347841
10931,32199952
10956,289952026
10964,325178933
10983,290132638
11001,269885278
11010,289842172
11029,219338027
11043,219327907
11049,318566416
11069,425904893
11076,231698181
11113,220490418
11118,220506705
11130,319244608
11133,319246766
11142,197989685
11143,403224147
11172,394008336
11183,231665881
11187,231636215
11202,393977332
11216,197981057
11217,197981077
11239,52246613
11246,52194662
11263,327724621
11273,327724364
11291,389089359
11296,261462443
11307,238169432
11362,402066136
11384,260751444
11406,419667736
11427,318515879
11435,410118760
11443,139282432
11451,325096436
11489,260372062
11512,260041674
11544,260192754
11577,350619228
11580,382259669
11669,350655963
11683,278684081
11691,281656710
11701,325207730
11714,201293664
11715,201295243
11723,281703963
11734,281763691
11755,260605873
11823,261643880
11838,290403648
11846,421893475
11847,273476652
11853,317019578
11863,277913391
11910,266968029
11929,140893238
11967,234300677
11968,259847500
11990,232084963
12000,30762159
12008,25155664
12018,234300790
12034,32035258
12064,327856894
12101,280051467
12142,259901124
12145,25078674
12222,52287279
12224,318567328
12237,441162150
12250,53992729
12252,441183643
12275,441181339
12296,302455483
12304,269831848
12324,29255834
12327,269995013
12353,308616873
12403,161172103
12407,469933721
12410,402046099
12462,308748912
12496,370008372
12536,259961168
12543,40716679
12612,402311665
12632,234349272
12684,234340300
12795,232074535
12809,52195943
12825,55852584
12870,55384162
12887,149542947
12948,167720039
13017,220572999
13047,41331819
13073,234524844
13078,220565276
13080,220538497
13082,237940785
13084,220538050
13110,233967252
13114,237914586
13117,55404385
13124,279637399
13172,273854939
13173,220554203
13185,355788466
13187,234524385
13205,231827609
13213,382581130
13215,220559249
13250,237881358
13254,234489900
13275,234501204
13295,237906898
13309,38469670
13348,234498449
13355,425935521
13358,201230466
13377,149990865
13417,262885414
13448,152221976
13451,80081010
13474,211432414
13526,92749735
13548,92313158
13559,211336288
13570,441420236
13571,441419703
13581,441396067
13600,441354986
13605,270535673
13623,152819773
13664,29281992
13666,29281339
13719,294870403
13794,141335886
13808,141482069
13866,441186077
13872,152272693
13957,300244770
13959,300865934
13964,177179102
13977,453101438
13989,300162674
14019,29987134
14027,300038390
14152,176935619
14197,30110465
14229,38877693
1173222,612256219
1173223,10005000540
1173224,278987417
1173225,259862015
1173226,30722080
1173227,303974454
1173228,350334336
1173229,2027471967
1173230,161153072
1173231,259901747
1173232,2027133755
1173233,89039719
1173234,92141259
1173235,44565276
1173236,121475272
1173237,31929199
1173238,204440619
1173239,182516987
1173240,197960386
1173241,139697052
1173242,300739338
1173243,177034802
1173244,237319282
1173245,77116701
1173246,165064829
1173247,290486039
1173248,177354054
1173249,92561835
1173250,294327531
1173251,253923475
1173252,126746626
1173253,147204909
1173254,147407408
1173255,126914484
1173256,126565548
1173257,176930969
1173258,29753609
1173259,235043302
1173260,309704722
1173261,234293501
1173262,38828619
1173263,403317785
1173264,235011974
1173265,126765925
1173266,91430917
1173267,2055473775
1173268,139091614
1173269,140580875
1173270,231640069
1173271,766092864
1173272,325220689
1173273,53724617
1173274,2028220823
1173275,410148949
1173276,259765082
1173277,404968457
1173278,327917972
1173279,266583037
1173280,1992811603
1173281,453102450
1173282,404932577
1173283,278805080
1173285,269794059
1173286,263077147
1173287,197951207
1173288,394245157
1173289,167245930
1173291,40600842
1173292,261646186
1173294,394137245
1173295,304138294
1173296,52204579
1173297,277103567
1173298,325374158
1173299,273325425
1173300,31998123
1173301,293508054
1173302,219207533
1173304,375150381
1173305,382147200
1173307,350764206
1173309,260475056
1173310,278727086
1173311,382157562
1173315,29780956
1173316,348718921
1173318,152832288
1173319,197741543
1173320,290574009
1173322,394677668
1173323,278706417
1173324,270392532
1173326,320966470
1173328,309626717
1173329,159842586
1173335,161174732
1173336,206363747
1173337,144069923
1173339,355479457
1173340,355367110
1173341,355477621
1173345,140041446
1173347,139840877
1173348,79407072
1173350,139770814
1173351,79114078
1173352,441183653
1173353,152926407
1173355,40970982
1173356,197735691
1173357,215114711
1173359,152799249
1173360,214992112
1173361,207080047
1173363,88326795
1173364,382428007
1173368,139189968
1173369,139257174
1173370,31634385
1173372,144253830
1173373,147405707
1173375,278804104
1173376,278516338
1173377,301893761
1173378,39045941
1173379,253929998
1173380,270566459
1173381,97432709
1173382,229042925
1173384,60647847
1173385,266635213
1173386,152271507
1173389,92863964
1173390,266642201
1173391,89359715
1173393,92709457
1173394,204442368
1173396,441050621
1173397,441050521
1173399,441037237
1173400,99672201
1173401,391924088
1173402,51991781
1173403,177255758
1173406,141527811
1173407,181659497
1173408,231669579
1173409,143998958
1173410,143998970
1173411,161153401
1173412,161173454
1173413,2055467776
1173419,139877571
1173420,234334233
1173421,232073266
1173422,29780874
1173423,140049961
1173425,144002280
1173426,161170661
1173427,1989744187
1173428,238926625
1173430,238926302
1173431,219165465
1173432,219165663
1173433,363913152
1173434,280050317
1173435,267364346
1173436,142053145
1173437,140967447
1173438,140968117
1173439,141910909
1173440,50230929
1173441,79249569
1173442,1989169801
1173443,1989136609
1173445,306934626
1173447,306738667
1173448,306933539
1173449,306670905
1173450,453096328
1173451,300383417
1173453,402105201
1173454,260005181
1173455,350716717
1173456,260269452
1173458,278895441
1173459,350622996
1173460,260078613
1173461,350442159
1173462,350442275
1173463,237312737
1173467,235043612
1173468,232062141
1173469,234292859
1173470,234990034
1173471,237309729
1173472,232059384
1173474,403121375
1173475,403282186
1173477,350222096
1173478,403266554
1173479,277752234
1173480,265467560
1173481,410269599
1173482,325413072
1173484,269857161
1173485,263014501
1173486,269851798
1173487,318608473
1173488,263075673
1173489,394233792
1173490,308453049
1173492,206594853
1173493,2028631543
1173494,206438080
1173495,326357666
1173496,99466352
1173497,441021012
1173500,99730065
1173503,99838314
1173504,415616924
1173505,262469075
1173506,159809019
1173507,389476104
1173508,214660363
1173509,214658983
1173510,214709346
1173511,206487047
1173513,278180570
1173514,261417886
1173515,261207550
1173516,261136000
1173518,394700706
1173520,261723237
1173521,261722954
1173523,394340314
1173525,290483962
1173526,394655108
1173527,261263449
1173529,140634767
1173530,238184075
1173531,389473951
1173532,50232196
1173533,50475480
1173534,271575209
1173535,266970063
1173536,431589295
1173537,50348090
1173538,266924492
1173540,159808728
1173541,219310530
1173543,271799480
1173545,114951893
1173547,141823504
1173549,206363464
1173551,238225417
1173552,141088762
1173557,50309020
1173558,389522376
1173559,197691943
1173560,317128692
1173563,70440912
1173565,89464674
1173566,441415837
1173567,79327185
1173569,79356380
1173571,161382741
1173573,306736221
1173574,320953370
1173575,320953476
1173578,209302486
1173581,152877584
1173583,197693382
1173584,382220734
1173585,389526265
1173586,115179126
1173587,206488752
1173588,165061643
1173590,165077195
1173591,25352457
1173593,260610346
1173594,350742701
1173595,382244527
1173596,147164449
1173597,294327312
1173598,350742571
1173600,220457619
1173601,382302236
1173602,350443833
1173603,278864418
1173604,350933712
1173605,260604504
1173606,220405047
1173607,220405048
1173609,425848501
1173610,206598159
1173611,260635563
1173614,126657939
1173616,253928117
1173617,253928222
1173618,80056862
1173620,97410882
1173621,253936104
1173622,229038321
1173624,211402046
1173625,80056550
1173626,441386959
1173627,89356490
1173629,211377110
1173630,441394459
1173631,211382597
1173632,211410795
1173634,92914483
1173635,325525307
1173637,214365491
1173639,71265012
1173640,147383719
1173641,89358011
1173645,219199582
1173646,219213742
1173647,139122889
1173648,220425438
1173649,201310154
1173650,260159935
1173651,150165930
1173655,350344761
1173656,220425513
1173657,281595750
1173658,381949876
1173659,506939512
1173660,71271685
1173661,382372130
1173662,355403265
1173663,139233206
